"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.185999143E1,6.505822167E1,2.547405516E1,2.156103369E1,9.149676886E-1,1.780906490E2,4.671956316E0,3.463720719E0
9.285998499E1,6.505820912E1,2.547406437E1,2.143634360E1,9.643298396E-1,1.741485875E2,4.670981493E0,3.465035199E0
9.385997701E1,6.505819498E1,2.547407251E1,2.093571001E1,1.096404836E0,1.779467560E2,4.665630004E0,3.472237563E0
9.485997117E1,6.505818244E1,2.547408391E1,2.060837848E1,1.131091605E0,1.762379886E2,4.666712283E0,3.470782837E0
9.585996318E1,6.505816924E1,2.547408939E1,2.054553185E1,1.207926361E0,1.764060555E2,4.666410761E0,3.471188218E0
9.685995674E1,6.505815310E1,2.547409323E1,2.060609511E1,1.348387524E0,1.781621436E2,4.668075982E0,3.468948494E0
9.785995018E1,6.505814049E1,2.547409089E1,2.058119768E1,1.263127547E0,1.844797013E2,4.666242634E0,3.471414224E0
9.885994315E1,6.505812671E1,2.547410134E1,1.958477865E1,1.135511518E0,1.815081208E2,4.660291517E0,3.479399375E0
9.985993648E1,6.505811226E1,2.547410889E1,1.897808684E1,1.139021220E0,1.770092031E2,4.660420872E0,3.479226110E0
1.008599287E2,6.505809563E1,2.547411440E1,1.886994266E1,1.221427863E0,1.759780495E2,4.664527153E0,3.473718968E0
1.018599219E2,6.505807765E1,2.547412339E1,1.869674597E1,1.365975766E0,1.734450669E2,4.661849247E0,3.477311984E0
1.028599149E2,6.505806324E1,2.547413236E1,1.859893958E1,1.341369904E0,1.721046499E2,4.664908286E0,3.473207123E0
1.038599079E2,6.505804796E1,2.547413825E1,1.806175645E1,1.340468607E0,1.727961853E2,4.641323181E0,3.504662061E0
1.048599024E2,6.505802967E1,2.547413297E1,1.772256947E1,1.336726706E0,1.792972518E2,4.643044626E0,3.502381137E0
1.058598943E2,6.505801386E1,2.547413064E1,1.768132911E1,1.353082784E0,1.781291962E2,4.639380736E0,3.507233014E0
