"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.949007917E0,3.874458647E-1,-1.581952500E-1,-1.063332831E0
1.959053917E0,3.235382827E-1,-3.987812769E-1,-1.678354375E0
1.969100917E0,2.748649632E-1,-5.187152714E-1,-2.040426832E0
1.979147917E0,2.979211923E-1,-5.139889669E-1,-1.970380697E0
1.989194917E0,2.991190676E-1,-4.574007833E-1,-1.720855155E0
1.999240917E0,2.249241136E-1,-3.379632175E-1,-1.462120540E0
2.009287917E0,2.103598689E-1,-1.658831692E-1,-1.052957239E0
2.019334917E0,2.066300031E-1,-1.305636477E-1,-8.869463083E-1
2.029382250E0,1.159786454E-1,-2.261586070E-1,-6.739807740E-1
2.039429250E0,-1.573289850E-1,-1.852456391E-1,-3.835811475E-1
2.049475250E0,-2.232007199E-1,-3.082675481E-1,-9.921768942E-1
2.059522250E0,3.603368573E-1,-5.350360197E-1,-1.021235802E0
2.069569250E0,1.130366188E0,-5.064975142E-2,-6.776279747E-1
2.079616250E0,1.381591224E0,5.668185604E-1,1.254543507E-1
2.089662250E0,1.273651038E0,9.399317300E-1,4.333900693E-1
2.099709250E0,4.015022787E-1,9.172416097E-1,-1.237865786E0
2.109756250E0,1.681195099E-1,-2.405486047E-1,-1.280947925E0
2.119803250E0,-3.997278681E-1,-1.353191882E-1,-1.102414305E0
2.129850250E0,-1.091426071E0,2.818849111E-1,-6.601572253E-1
2.139896250E0,-1.457462794E0,-1.215513343E-1,-6.031531584E-1
2.149943250E0,-1.497140391E0,-3.341397232E-1,-8.184128478E-1
2.159990250E0,-1.324937405E0,-2.868620610E-1,-8.170695962E-1
2.170037250E0,-9.896682926E-1,-3.242474037E-1,-3.587424678E-1
2.180084250E0,-3.316371880E-1,-1.029975343E-1,-7.060900278E-1
2.190130250E0,1.512799674E-1,-7.751887679E-2,-1.458840544E0
2.200177250E0,2.537956911E-1,-1.818875831E-1,-1.738731555E0
2.210224250E0,8.757594153E-2,-5.946969151E-2,-1.473209200E0
2.220271250E0,1.488088609E-1,3.976282060E-2,-9.628794202E-1
2.230317250E0,2.397616426E-1,4.385622239E-1,-4.747203822E-1
2.240364250E0,-9.486822344E-2,1.002223288E0,1.097941916E-1
2.250411250E0,-3.330813771E-1,1.331514500E0,5.603877926E-1
2.260458250E0,-3.990251789E-1,1.735032021E0,1.000524672E0
2.270505250E0,-4.415247157E-1,2.190827744E0,1.329814714E0
2.280551250E0,-3.780548709E-1,2.624576540E0,1.438695132E0
2.290598250E0,-2.254747020E-1,2.841781306E0,1.313038322E0
2.300645250E0,1.213566951E-1,2.949187641E0,9.740098876E-1
2.310692250E0,5.677739954E-1,2.973453001E0,4.792851573E-1
2.320738250E0,8.363526902E-1,2.521024105E0,1.816713823E-1
2.330785250E0,1.020616070E0,1.827430893E0,2.608865364E-1
2.340832250E0,1.229993534E0,1.223754993E0,4.019317567E-1
2.350879250E0,1.377047938E0,5.502346873E-1,5.870988970E-1
2.360926250E0,1.102806653E0,1.016713858E-2,9.108453405E-1
2.370972250E0,7.037081645E-1,-2.714335978E-1,1.120469776E0
2.381019250E0,5.200823504E-1,-5.180042499E-1,6.746757156E-1
2.391066250E0,6.395898635E-1,-6.477101111E-1,-1.762498440E-1
2.401113250E0,9.022648439E-1,-5.403388596E-1,-6.502830322E-1
2.411160250E0,1.228483929E0,-4.366519386E-1,-9.697338188E-1
2.421206250E0,1.346593446E0,-2.433570224E-1,-1.192343751E0
2.431253250E0,1.259324775E0,-1.173542029E-1,-9.877042128E-1
2.441300250E0,1.101984973E0,-1.950835794E-1,-9.310917632E-1
2.451347250E0,8.500816602E-1,-2.645017236E-1,-7.192677516E-1
2.461393250E0,4.653495613E-1,-3.040581375E-1,4.788182572E-2
2.471440250E0,-2.077091798E-2,-3.040645695E-1,9.932424031E-1
2.481487250E0,-3.069185954E-1,-5.576881331E-1,1.209141047E0
2.491534250E0,-2.149202585E-1,-7.732445687E-1,7.286544330E-1
2.501581250E0,4.428534955E-4,-7.416239959E-1,3.930792184E-1
2.511627250E0,1.616597984E-1,-8.320318902E-1,3.484209627E-1
2.521674250E0,3.720846444E-1,-9.167814338E-1,4.240245840E-1
2.531721250E0,7.318345875E-1,-6.988545370E-1,6.882288305E-1
2.541768250E0,8.483378743E-1,-5.044813943E-1,9.800787127E-1
2.551815250E0,9.167250813E-1,-3.124097157E-1,1.022216672E0
2.561861250E0,9.594143602E-1,3.706550002E-3,1.037685481E0
2.571908250E0,9.660630099E-1,-1.407740557E-1,3.588333920E-1
2.581955250E0,1.426610984E0,-7.801255721E-1,-1.259092787E0
2.592002250E0,1.642448671E0,-5.792643589E-1,-1.877008411E0
2.602048250E0,1.347017369E0,-4.595104587E-1,-1.173614680E0
2.612095250E0,7.338381359E-1,-5.608222407E-1,3.945452616E-2
2.622142250E0,4.092529824E-1,-5.907044363E-1,9.051225244E-1
2.632189250E0,4.005068634E-1,-3.715659964E-1,8.692812851E-1
2.642236250E0,5.175190772E-1,-2.265304899E-1,6.109340483E-1
2.652282250E0,7.188827124E-1,-2.755757654E-1,2.893117520E-1
2.662329250E0,7.877490988E-1,-3.519175977E-1,-1.318558824E-1
2.672376250E0,5.955071200E-1,-5.451856166E-1,-5.362231506E-1
2.682423250E0,1.455502807E-1,-9.038128942E-1,-1.245234740E0
2.692470250E0,-8.146231212E-2,-1.304575793E0,-1.556389058E0
2.702516250E0,-6.186171435E-3,-1.523893742E0,-1.588774739E0
2.712563250E0,3.896237332E-2,-1.516052041E0,-1.713937899E0
2.722610250E0,-7.674412072E-2,-1.244285152E0,-1.815697431E0
2.732657250E0,-1.423391361E-1,-1.119560534E0,-2.098112100E0
2.742703250E0,-2.445342496E-1,-1.054091014E0,-2.110586404E0
2.752750250E0,-1.260474411E-1,-1.082972167E0,-1.706185368E0
2.762797250E0,-6.037915282E-2,-1.009886649E0,-1.578577195E0
2.772844250E0,-9.908227522E-2,-8.229897559E-1,-1.253243963E0
2.782891250E0,-1.951976001E-2,-4.293780023E-1,-1.107973399E0
2.792937250E0,2.583754496E-1,-1.945386189E-1,-8.415909183E-1
2.802984250E0,5.559298023E-1,6.388667822E-3,-3.451930073E-1
2.813031250E0,5.313526027E-1,3.229861593E-1,1.280306339E-1
2.823078250E0,3.478468392E-1,5.206319886E-1,5.512673056E-1
2.833125250E0,1.805279228E-1,3.303577441E-1,6.141611266E-1
2.843171250E0,1.041409208E-1,8.653937638E-2,2.984319466E-1
2.853218250E0,2.655596311E-1,2.535118818E-2,-3.438490248E-1
2.863265250E0,4.183398478E-1,8.796726644E-2,-7.773121843E-1
2.873312250E0,4.613202816E-1,8.265097797E-2,-9.712193039E-1
2.883358250E0,6.255990844E-1,1.296602529E-1,-9.080553415E-1
2.893405250E0,7.914872968E-1,3.080517858E-1,-4.537377951E-1
2.903452250E0,9.416565856E-1,5.937572676E-1,-6.554144025E-3
2.913499250E0,9.333496656E-1,8.567036319E-1,1.441715804E-1
2.923546250E0,8.762903425E-1,1.240686191E0,3.613982731E-1
2.933592250E0,7.815183789E-1,1.597385057E0,5.365314451E-1
2.943639250E0,6.378688087E-1,1.954435925E0,8.426343539E-1
2.953686250E0,2.742497265E-1,2.410865486E0,1.423930036E0
2.963733250E0,-2.181536957E-1,2.545505812E0,1.234555385E0
2.973780250E0,-5.347677421E-1,2.412348924E0,7.743102238E-1
2.983826250E0,-5.978233848E-1,2.345241600E0,8.843671015E-1
2.993873250E0,-9.347613296E-1,2.171009776E0,1.090796033E0
3.003920250E0,-1.342301589E0,1.838511951E0,1.329259521E0
3.013967250E0,-1.561900059E0,1.579570929E0,1.462707016E0
3.024014250E0,-1.643373408E0,1.389754522E0,1.406330209E0
3.034060667E0,-1.630383672E0,1.072824908E0,1.663488707E0
3.044107667E0,-1.505802895E0,8.701224071E-1,1.907070847E0
3.054154667E0,-1.115135507E0,7.023909330E-1,2.300702481E0
3.064201667E0,-5.300310589E-1,6.840026093E-1,2.466787087E0
3.074247667E0,-1.468122926E-1,8.766134012E-1,2.275905609E0
3.084294667E0,3.471945092E-2,1.090861815E0,1.871877333E0
3.094341667E0,-2.228147306E-2,1.101807218E0,1.278282618E0
3.104388667E0,-1.357618225E-1,8.676852876E-1,8.620608509E-1
3.114435667E0,-3.470302755E-1,6.239423490E-1,5.462813848E-1
3.124481667E0,-7.055609279E-1,5.079856306E-1,-4.544865310E-2
3.134528667E0,-8.366190308E-1,1.391637325E-1,-3.285746357E-1
3.144575667E0,-8.026285815E-1,-1.473439872E-2,-5.591560766E-1
3.154622667E0,-7.124032666E-1,-1.034740824E-1,-5.076105317E-1
3.164669667E0,-6.822674480E-1,-2.362877387E-1,-3.572774479E-1
3.174715667E0,-6.673072006E-1,-3.303355247E-1,-3.212279016E-1
3.184762667E0,-6.196949315E-1,-4.124777949E-1,-2.579882178E-1
3.194809667E0,-4.075260803E-1,-4.490088594E-1,-2.703214574E-1
3.204856667E0,-1.156021578E-1,-5.596106976E-1,-2.356436679E-1
3.214902667E0,2.377178214E-2,-6.383229911E-1,-1.955057484E-1
3.224949667E0,-1.209300676E-1,-6.749031723E-1,-2.849263403E-1
3.234996667E0,-3.099095193E-1,-8.557704163E-1,-2.554277220E-1
3.245043667E0,-4.494534671E-1,-1.017366407E0,-2.805157855E-1
3.255090667E0,-3.974174139E-1,-1.199961503E0,-2.367733499E-1
3.265136667E0,-3.112046776E-1,-1.275505775E0,-1.019672549E-1
3.275183667E0,-2.974482257E-1,-1.239430794E0,-2.158277464E-1
3.285230667E0,-3.388754562E-1,-1.308310994E0,-2.619915140E-1
3.295277667E0,-3.922116378E-1,-1.396100505E0,-2.456915233E-1
3.305324667E0,-4.203526787E-1,-1.433799258E0,-2.650089696E-1
3.315370667E0,-5.186948792E-1,-1.504073435E0,-2.823488876E-1
3.325417667E0,-6.761574000E-1,-1.434782760E0,-2.965590835E-1
3.335464667E0,-7.787655828E-1,-1.300248268E0,-3.325963506E-1
